,kep,datetime
39,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 158.1743996071576;}, attitude=org.orekit.attitudes.Attitude@6e7fa4b0, mass=1000.0, additional={}}",2020-01-01 00:40:00
40,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 160.77671580938605;}, attitude=org.orekit.attitudes.Attitude@6c7f804c, mass=1000.0, additional={}}",2020-01-01 00:41:00
41,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 163.3599831613112;}, attitude=org.orekit.attitudes.Attitude@3e89f5bc, mass=1000.0, additional={}}",2020-01-01 00:42:00
42,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 165.92685273483227;}, attitude=org.orekit.attitudes.Attitude@259aec72, mass=1000.0, additional={}}",2020-01-01 00:43:00
43,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 168.47992038020223;}, attitude=org.orekit.attitudes.Attitude@36d39655, mass=1000.0, additional={}}",2020-01-01 00:44:00
44,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 171.02173536121097;}, attitude=org.orekit.attitudes.Attitude@26be0d23, mass=1000.0, additional={}}",2020-01-01 00:45:00
45,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 173.5548088969128;}, attitude=org.orekit.attitudes.Attitude@576b385d, mass=1000.0, additional={}}",2020-01-01 00:46:00
46,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 176.08162261754245;}, attitude=org.orekit.attitudes.Attitude@2560a7be, mass=1000.0, additional={}}",2020-01-01 00:47:00
47,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 178.60463694799907;}, attitude=org.orekit.attitudes.Attitude@fabfc79, mass=1000.0, additional={}}",2020-01-01 00:48:00
48,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 181.12629943643844;}, attitude=org.orekit.attitudes.Attitude@59aa2fba, mass=1000.0, additional={}}",2020-01-01 00:49:00
49,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 183.6490530483423;}, attitude=org.orekit.attitudes.Attitude@578d5d02, mass=1000.0, additional={}}",2020-01-01 00:50:00
50,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 186.17534444808672;}, attitude=org.orekit.attitudes.Attitude@77f04d1a, mass=1000.0, additional={}}",2020-01-01 00:51:00
51,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 188.7076322906093;}, attitude=org.orekit.attitudes.Attitude@27682fa9, mass=1000.0, additional={}}",2020-01-01 00:52:00
52,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 191.24839554530897;}, attitude=org.orekit.attitudes.Attitude@2fb70301, mass=1000.0, additional={}}",2020-01-01 00:53:00
53,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 193.80014187277752;}, attitude=org.orekit.attitudes.Attitude@126f2eb8, mass=1000.0, additional={}}",2020-01-01 00:54:00
