,kep,datetime
56,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 201.54696426310667;}, attitude=org.orekit.attitudes.Attitude@4deca78, mass=1000.0, additional={}}",2020-01-01 00:57:00
57,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 204.1685908008572;}, attitude=org.orekit.attitudes.Attitude@5f65e0c0, mass=1000.0, additional={}}",2020-01-01 00:58:00
58,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 206.81446782653913;}, attitude=org.orekit.attitudes.Attitude@566cc6af, mass=1000.0, additional={}}",2020-01-01 00:59:00
59,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 209.4874556268252;}, attitude=org.orekit.attitudes.Attitude@d70dbeb, mass=1000.0, additional={}}",2020-01-01 01:00:00
60,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 212.1905040709219;}, attitude=org.orekit.attitudes.Attitude@7f8f5d37, mass=1000.0, additional={}}",2020-01-01 01:01:00
61,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 214.92666147623333;}, attitude=org.orekit.attitudes.Attitude@f9cd1e6, mass=1000.0, additional={}}",2020-01-01 01:02:00
62,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 217.69908336240823;}, attitude=org.orekit.attitudes.Attitude@3ff53704, mass=1000.0, additional={}}",2020-01-01 01:03:00
63,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 220.5110409806203;}, attitude=org.orekit.attitudes.Attitude@34d11c92, mass=1000.0, additional={}}",2020-01-01 01:04:00
64,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 223.36592946617512;}, attitude=org.orekit.attitudes.Attitude@31b289da, mass=1000.0, additional={}}",2020-01-01 01:05:00
65,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 226.26727541472107;}, attitude=org.orekit.attitudes.Attitude@58486deb, mass=1000.0, additional={}}",2020-01-01 01:06:00
66,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 229.21874362375164;}, attitude=org.orekit.attitudes.Attitude@4e933cf1, mass=1000.0, additional={}}",2020-01-01 01:07:00
67,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 232.22414266976884;}, attitude=org.orekit.attitudes.Attitude@729a9c3d, mass=1000.0, additional={}}",2020-01-01 01:08:00
68,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 235.28742890538777;}, attitude=org.orekit.attitudes.Attitude@574327ed, mass=1000.0, additional={}}",2020-01-01 01:09:00
69,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 238.41270835768879;}, attitude=org.orekit.attitudes.Attitude@4c7f2fdb, mass=1000.0, additional={}}",2020-01-01 01:10:00
70,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 241.6042358873434;}, attitude=org.orekit.attitudes.Attitude@1b5cf611, mass=1000.0, additional={}}",2020-01-01 01:11:00
71,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 244.86641082595776;}, attitude=org.orekit.attitudes.Attitude@3d01ea33, mass=1000.0, additional={}}",2020-01-01 01:12:00
