,kep,datetime
29,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.034436694010099564; ey: -0.1970129625726342; hx: 0.6745081366792287; hy: -7.170961023015154E-4; lv: 410.34091114712146;}, attitude=org.orekit.attitudes.Attitude@476c137b, mass=625.0, additional={}}",2020-01-01 00:30:00
30,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.03442692797861667; ey: -0.1970146688027221; hx: 0.6745081108773237; hy: -7.409992971158254E-4; lv: 413.2945456570554;}, attitude=org.orekit.attitudes.Attitude@79144d0e, mass=625.0, additional={}}",2020-01-01 00:31:00
31,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.03441716186261287; ey: -0.19701637454874896; hx: 0.674508084228335; hy: -7.649024910553226E-4; lv: 416.19765221016644;}, attitude=org.orekit.attitudes.Attitude@540212be, mass=625.0, additional={}}",2020-01-01 00:32:00
32,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.034407395662112164; ey: -0.19701807981071065; hx: 0.6745080567322628; hy: -7.888056840899837E-4; lv: 419.0539079757986;}, attitude=org.orekit.attitudes.Attitude@2579d8a, mass=625.0, additional={}}",2020-01-01 00:33:00
33,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.03439762937713853; ey: -0.19701978458860295; hx: 0.6745080283891071; hy: -8.127088761897854E-4; lv: 421.86685141378223;}, attitude=org.orekit.attitudes.Attitude@2507a170, mass=625.0, additional={}}",2020-01-01 00:34:00
34,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.034387863007715964; ey: -0.19702148888242169; hx: 0.6745079991988678; hy: -8.366120673247044E-4; lv: 424.63988888133804;}, attitude=org.orekit.attitudes.Attitude@7e20f4e3, mass=625.0, additional={}}",2020-01-01 00:35:00
35,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.034378096553868455; ey: -0.19702319269216267; hx: 0.6745079691615452; hy: -8.605152574647171E-4; lv: 427.37630210814416;}, attitude=org.orekit.attitudes.Attitude@3af39e7b, mass=625.0, additional={}}",2020-01-01 00:36:00
36,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.03436833001562; ey: -0.19702489601782172; hx: 0.6745079382771391; hy: -8.844184465798006E-4; lv: 430.0792562741397;}, attitude=org.orekit.attitudes.Attitude@4f6ff62, mass=625.0, additional={}}",2020-01-01 00:37:00
37,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.03435856339299458; ey: -0.19702659885939466; hx: 0.6745079065456496; hy: -9.08321634639931E-4; lv: 432.75180848446814;}, attitude=org.orekit.attitudes.Attitude@1c62d2ad, mass=625.0, additional={}}",2020-01-01 00:38:00
38,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.034348796686016196; ey: -0.1970283012168773; hx: 0.6745078739670768; hy: -9.322248216150856E-4; lv: 435.3969164848175;}, attitude=org.orekit.attitudes.Attitude@651caa2e, mass=625.0, additional={}}",2020-01-01 00:39:00
39,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.034339029894708835; ey: -0.19703000309026547; hx: 0.6745078405414207; hy: -9.561280074752406E-4; lv: 438.01744750006145;}, attitude=org.orekit.attitudes.Attitude@433ae0b0, mass=625.0, additional={}}",2020-01-01 00:40:00
40,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.03432926301909649; ey: -0.19703170447955498; hx: 0.6745078062686812; hy: -9.80031192190373E-4; lv: 440.6161871110838;}, attitude=org.orekit.attitudes.Attitude@70840a5a, mass=625.0, additional={}}",2020-01-01 00:41:00
41,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.03431949605920314; ey: -0.19703340538474168; hx: 0.6745077711488585; hy: -0.0010039343757304593; lv: 443.19584811031797;}, attitude=org.orekit.attitudes.Attitude@7af9595d, mass=625.0, additional={}}",2020-01-01 00:42:00
42,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.03430972901505279; ey: -0.19703510580582137; hx: 0.6745077351819526; hy: -0.0010278375580654762; lv: 445.759079296986;}, attitude=org.orekit.attitudes.Attitude@7a34c1f6, mass=625.0, additional={}}",2020-01-01 00:43:00
43,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.03429996188666943; ey: -0.1970368057427899; hx: 0.6745076983679635; hy: -0.0010517407391654003; lv: 448.308474189228;}, attitude=org.orekit.attitudes.Attitude@6e9f8160, mass=625.0, additional={}}",2020-01-01 00:44:00
44,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.034290194674077054; ey: -0.19703850519564306; hx: 0.6745076607068914; hy: -0.0010756439190002087; lv: 450.8465796430638;}, attitude=org.orekit.attitudes.Attitude@3e998033, mass=625.0, additional={}}",2020-01-01 00:45:00
45,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.03428042737729965; ey: -0.19704020416437673; hx: 0.6745076221987362; hy: -0.0010995470975398774; lv: 453.37590437805466;}, attitude=org.orekit.attitudes.Attitude@e1a150c, mass=625.0, additional={}}",2020-01-01 00:46:00
46,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.03427065999636122; ey: -0.19704190264898672; hx: 0.6745075828434979; hy: -0.0011234502747543835; lv: 455.89892741717114;}, attitude=org.orekit.attitudes.Attitude@527d5e48, mass=625.0, additional={}}",2020-01-01 00:47:00
47,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.034260892531285746; ey: -0.19704360064946883; hx: 0.6745075426411765; hy: -0.0011473534506137037; lv: 458.4181064541159;}, attitude=org.orekit.attitudes.Attitude@407b41e6, mass=625.0, additional={}}",2020-01-01 00:48:00
