LEO ephemeris
Frame : TOD/1996 without EOP
Period : 2020-01-01T00:00:00.000 - 2020-01-01T12:00:00.000
                   date;Semi-Major Axis (km);Eccentricity (-);Inclination (Degrees);RA of Asc· Node (Degrees);Argument of Perigee (Degrees);True Anomaly (Degrees)
2020/01/01 01:18:00.000;     6992.62613;     0.00142565;       98.00632;       90.05734;       71.94540;      216.62954
2020/01/01 01:19:00.000;     6993.40459;     0.00125340;       98.00586;       90.05858;       73.68759;      218.59112
2020/01/01 01:20:00.000;     6994.29514;     0.00107477;       98.00534;       90.05975;       74.38319;      221.59988
2020/01/01 01:21:00.000;     6995.28164;     0.00089486;       98.00477;       90.06085;       73.40669;      226.28132
2020/01/01 01:22:00.000;     6996.34575;     0.00072153;       98.00415;       90.06187;       69.62155;      233.77198
2020/01/01 01:23:00.000;     6997.46969;     0.00056854;       98.00349;       90.06281;       60.96481;      246.13480
2020/01/01 01:24:00.000;     6998.63548;     0.00046198;       98.00280;       90.06367;       44.73321;      266.07302
2020/01/01 01:25:00.000;     6999.82426;     0.00043810;       98.00209;       90.06444;       22.21324;      292.30012
2020/01/01 01:26:00.000;     7001.01664;     0.00050534;       98.00138;       90.06513;        2.61551;      315.60549
2020/01/01 01:27:00.000;     7002.19257;     0.00062949;       98.00068;       90.06572;      350.98217;      330.94694
2020/01/01 01:28:00.000;     7003.33190;     0.00077670;       98.00000;       90.06622;      345.34171;      340.29595
2020/01/01 01:29:00.000;     7004.41547;     0.00092838;       97.99936;       90.06664;      343.18250;      346.16411
2020/01/01 01:30:00.000;     7005.42518;     0.00107483;       97.99876;       90.06697;      343.01898;      350.03696
2020/01/01 01:31:00.000;     7006.34486;     0.00121047;       97.99822;       90.06723;      344.04984;      352.71576
2020/01/01 01:32:00.000;     7007.15969;     0.00133162;       97.99773;       90.06742;      345.83311;      354.64245
2020/01/01 01:33:00.000;     7007.85498;     0.00143543;       97.99732;       90.06755;      348.10842;      356.07734
2020/01/01 01:34:00.000;     7008.41842;     0.00151974;       97.99698;       90.06764;      350.70795;      357.18823
2020/01/01 01:35:00.000;     7008.84109;     0.00158312;       97.99673;       90.06769;      353.52124;      358.08552
2020/01/01 01:36:00.000;     7009.11518;     0.00162436;       97.99655;       90.06771;      356.47100;      358.84644
