,kep,datetime
61,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -166.7241021985887;}, attitude=org.orekit.attitudes.Attitude@5acd137c, mass=1001.0202363003215, additional={}}",2020-01-01 01:02:00
62,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -164.14602630716578;}, attitude=org.orekit.attitudes.Attitude@6f14bc87, mass=1001.0202363003215, additional={}}",2020-01-01 01:03:00
63,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -161.55216693543414;}, attitude=org.orekit.attitudes.Attitude@47893392, mass=1001.0202363003215, additional={}}",2020-01-01 01:04:00
64,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -158.9398432225616;}, attitude=org.orekit.attitudes.Attitude@1c3455e5, mass=1001.0202363003215, additional={}}",2020-01-01 01:05:00
65,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -156.30631154292237;}, attitude=org.orekit.attitudes.Attitude@2ed0f3ec, mass=1001.0202363003215, additional={}}",2020-01-01 01:06:00
66,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -153.6487564573235;}, attitude=org.orekit.attitudes.Attitude@64ea9235, mass=1001.0202363003215, additional={}}",2020-01-01 01:07:00
67,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -150.9642815933958;}, attitude=org.orekit.attitudes.Attitude@6af12899, mass=1001.0202363003215, additional={}}",2020-01-01 01:08:00
68,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -148.24990049043598;}, attitude=org.orekit.attitudes.Attitude@54d4c35f, mass=1001.0202363003215, additional={}}",2020-01-01 01:09:00
69,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -145.502527464064;}, attitude=org.orekit.attitudes.Attitude@7db205ba, mass=1001.0202363003215, additional={}}",2020-01-01 01:10:00
70,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -142.7189685713196;}, attitude=org.orekit.attitudes.Attitude@4df95b03, mass=1001.0202363003215, additional={}}",2020-01-01 01:11:00
71,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -139.8959127884067;}, attitude=org.orekit.attitudes.Attitude@2eaf17c5, mass=1001.0202363003215, additional={}}",2020-01-01 01:12:00
72,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -137.0299235525666;}, attitude=org.orekit.attitudes.Attitude@5c13e774, mass=1001.0202363003215, additional={}}",2020-01-01 01:13:00
73,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -134.11743086809972;}, attitude=org.orekit.attitudes.Attitude@31e1a699, mass=1001.0202363003215, additional={}}",2020-01-01 01:14:00
74,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -131.15472423617157;}, attitude=org.orekit.attitudes.Attitude@36c7c2e5, mass=1001.0202363003215, additional={}}",2020-01-01 01:15:00
75,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -128.13794674074595;}, attitude=org.orekit.attitudes.Attitude@6080eac7, mass=1001.0202363003215, additional={}}",2020-01-01 01:16:00
76,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -125.06309071096105;}, attitude=org.orekit.attitudes.Attitude@236b89e4, mass=1001.0202363003215, additional={}}",2020-01-01 01:17:00
77,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -121.92599548572254;}, attitude=org.orekit.attitudes.Attitude@1f82267e, mass=1001.0202363003215, additional={}}",2020-01-01 01:18:00
78,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -118.72234793131143;}, attitude=org.orekit.attitudes.Attitude@175a0f81, mass=1001.0202363003215, additional={}}",2020-01-01 01:19:00
79,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -115.44768650905068;}, attitude=org.orekit.attitudes.Attitude@70eb197f, mass=1001.0202363003215, additional={}}",2020-01-01 01:20:00
80,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -112.09740985828876;}, attitude=org.orekit.attitudes.Attitude@f308a2f, mass=1001.0202363003215, additional={}}",2020-01-01 01:21:00
81,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -108.66679104933097;}, attitude=org.orekit.attitudes.Attitude@10fec61, mass=1001.0202363003215, additional={}}",2020-01-01 01:22:00
82,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -105.15099886814362;}, attitude=org.orekit.attitudes.Attitude@466eddc6, mass=1001.0202363003215, additional={}}",2020-01-01 01:23:00
83,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -101.54512771251916;}, attitude=org.orekit.attitudes.Attitude@6ee60495, mass=1001.0202363003215, additional={}}",2020-01-01 01:24:00
84,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -97.84423789527752;}, attitude=org.orekit.attitudes.Attitude@650c9a94, mass=1001.0202363003215, additional={}}",2020-01-01 01:25:00
85,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -94.04340834375833;}, attitude=org.orekit.attitudes.Attitude@1b9e0eb0, mass=1001.0202363003215, additional={}}",2020-01-01 01:26:00
86,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -90.13780382614799;}, attitude=org.orekit.attitudes.Attitude@2bae60e8, mass=1001.0202363003215, additional={}}",2020-01-01 01:27:00
87,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -86.1227588814765;}, attitude=org.orekit.attitudes.Attitude@75321ba4, mass=1001.0202363003215, additional={}}",2020-01-01 01:28:00
88,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -81.99388052437719;}, attitude=org.orekit.attitudes.Attitude@746be7ac, mass=1001.0202363003215, additional={}}",2020-01-01 01:29:00
89,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -77.74717146572293;}, attitude=org.orekit.attitudes.Attitude@1f6b8c1f, mass=1001.0202363003215, additional={}}",2020-01-01 01:30:00
90,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -73.37917495053641;}, attitude=org.orekit.attitudes.Attitude@471a163a, mass=1001.0202363003215, additional={}}",2020-01-01 01:31:00
91,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -68.88714127258224;}, attitude=org.orekit.attitudes.Attitude@2290ca46, mass=1001.0202363003215, additional={}}",2020-01-01 01:32:00
92,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -64.26921449398155;}, attitude=org.orekit.attitudes.Attitude@9ed1f3f, mass=1001.0202363003215, additional={}}",2020-01-01 01:33:00
93,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -59.52463581825542;}, attitude=org.orekit.attitudes.Attitude@4a256169, mass=1001.0202363003215, additional={}}",2020-01-01 01:34:00
94,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -54.65395743427709;}, attitude=org.orekit.attitudes.Attitude@5d1915d1, mass=1001.0202363003215, additional={}}",2020-01-01 01:35:00
