,kep
39,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 148.43244872216513;}, attitude=org.orekit.attitudes.Attitude@46bbf09f, mass=1000.0, additional={}}"
40,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 152.12809001851033;}, attitude=org.orekit.attitudes.Attitude@7a360deb, mass=1000.0, additional={}}"
41,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 155.82337436423487;}, attitude=org.orekit.attitudes.Attitude@59a2b65a, mass=1000.0, additional={}}"
42,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 159.51834604536143;}, attitude=org.orekit.attitudes.Attitude@31c0ff8b, mass=1000.0, additional={}}"
43,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 163.21305062705915;}, attitude=org.orekit.attitudes.Attitude@28e6de24, mass=1000.0, additional={}}"
44,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 166.9075347665824;}, attitude=org.orekit.attitudes.Attitude@6275c786, mass=1000.0, additional={}}"
45,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 170.60184602205416;}, attitude=org.orekit.attitudes.Attitude@2e29bdf4, mass=1000.0, additional={}}"
46,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 174.29603265782794;}, attitude=org.orekit.attitudes.Attitude@18a3231d, mass=1000.0, additional={}}"
47,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 177.99014344717312;}, attitude=org.orekit.attitudes.Attitude@62ad9d3, mass=1000.0, additional={}}"
48,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 181.6842274730334;}, attitude=org.orekit.attitudes.Attitude@4aaf6767, mass=1000.0, additional={}}"
49,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 185.37833392761374;}, attitude=org.orekit.attitudes.Attitude@290aa5db, mass=1000.0, additional={}}"
50,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 189.07251191155484;}, attitude=org.orekit.attitudes.Attitude@2830c02c, mass=1000.0, additional={}}"
51,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 192.76681023345319;}, attitude=org.orekit.attitudes.Attitude@788460b8, mass=1000.0, additional={}}"
52,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 196.46127721048586;}, attitude=org.orekit.attitudes.Attitude@49a1a490, mass=1000.0, additional={}}"
53,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 200.15596047089568;}, attitude=org.orekit.attitudes.Attitude@3579e402, mass=1000.0, additional={}}"
54,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 203.8509067590873;}, attitude=org.orekit.attitudes.Attitude@1be67321, mass=1000.0, additional={}}"
55,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 207.54616174407926;}, attitude=org.orekit.attitudes.Attitude@403c4145, mass=1000.0, additional={}}"
56,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 211.24176983204728;}, attitude=org.orekit.attitudes.Attitude@47df8f6, mass=1000.0, additional={}}"
57,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 214.9377739836848;}, attitude=org.orekit.attitudes.Attitude@7ede558f, mass=1000.0, additional={}}"
58,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 218.63421553709327;}, attitude=org.orekit.attitudes.Attitude@56094e0e, mass=1000.0, additional={}}"
59,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 222.33113403690015;}, attitude=org.orekit.attitudes.Attitude@741d1be3, mass=1000.0, additional={}}"
60,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 226.0285670702857;}, attitude=org.orekit.attitudes.Attitude@1f4ce7de, mass=1000.0, additional={}}"
61,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 229.7265501105803;}, attitude=org.orekit.attitudes.Attitude@1332ab95, mass=1000.0, additional={}}"
62,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 233.4251163690734;}, attitude=org.orekit.attitudes.Attitude@f57fec3, mass=1000.0, additional={}}"
63,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 237.12429665564804;}, attitude=org.orekit.attitudes.Attitude@13092ec9, mass=1000.0, additional={}}"
64,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 240.82411924883363;}, attitude=org.orekit.attitudes.Attitude@6b834961, mass=1000.0, additional={}}"
65,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 244.52460977583553;}, attitude=org.orekit.attitudes.Attitude@6deb3987, mass=1000.0, additional={}}"
66,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 248.22579110307078;}, attitude=org.orekit.attitudes.Attitude@5d7a631f, mass=1000.0, additional={}}"
67,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 251.92768323770545;}, attitude=org.orekit.attitudes.Attitude@75f611f, mass=1000.0, additional={}}"
68,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 255.63030324065107;}, attitude=org.orekit.attitudes.Attitude@7666f8d4, mass=1000.0, additional={}}"
69,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 259.33366515143797;}, attitude=org.orekit.attitudes.Attitude@42f5d09e, mass=1000.0, additional={}}"
70,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 263.0377799253427;}, attitude=org.orekit.attitudes.Attitude@4c993144, mass=1000.0, additional={}}"
71,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 266.74265538310016;}, attitude=org.orekit.attitudes.Attitude@30b2e651, mass=1000.0, additional={}}"
72,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 270.44829617348523;}, attitude=org.orekit.attitudes.Attitude@715308cb, mass=1000.0, additional={}}"
73,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 274.1547037489979;}, attitude=org.orekit.attitudes.Attitude@1d4e475f, mass=1000.0, additional={}}"
74,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 277.8618763548357;}, attitude=org.orekit.attitudes.Attitude@185856a3, mass=1000.0, additional={}}"
75,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 281.56980903128084;}, attitude=org.orekit.attitudes.Attitude@3fffab97, mass=1000.0, additional={}}"
